Nº serie;Etiqueta;Fabricante;Modelo
C02JN1FPQ6X3;;APPLE;Z12R PANTALLA RETINA
C02JN1FUQ6X3;;APPLE;24" APPLE Z12R
41T01V3;;DELL;OPTIPLEX 3000 TC
62X01V3;;DELL;OPTIPLEX 3000 TC
21T01V3;;DELL;OPTIPLEX 3000 TC
42X01V3;;DELL;OPTIPLEX 3000 TC
31T01V3;;DELL;OPTIPLEX 3000 TC
52X01V3;;DELL;OPTIPLEX 3000 TC
32X01V3;;DELL;OPTIPLEX 3000 TC
51T01V3;;DELL;OPTIPLEX 3000 TC
11T01V3;;DELL;OPTIPLEX 3000 TC
61T01V3;;DELL;OPTIPLEX 3000 TC
41GXD21;;TOSHIBA;4900-777
41GXD01;;TOSHIBA;4900-777
N4N0CX07W442150;;ASUS;X415J
2301XCF0BL;;Oracle;Exadata X8M
X77HJQ4P21;;APPLE;PRO A2485
SXW0XJGYJFR;;APPLE;AIR A2681
DXZ08V3;0044864;DELL;ServidorTipo 1Torre T-350,4DY3
7XZ08V3;0044858;DELL;ServidorTipo 1Torre T-350,4DY3
GXZ08V3;0044863;DELL;ServidorTipo 1Torre T-350,4DY3
8XZ08V3;0044856;DELL;ServidorTipo 1Torre T-350,4DY3
BXZ08V3;0044857;DELL;ServidorTipo 1Torre T-350,4DY3
FXZ08V3;0044860;DELL;ServidorTipo 1Torre T-350,4DY3
CXZ08V3;0044855;DELL;ServidorTipo 1Torre T-350,4DY3
9XZ08V3;0044859;DELL;ServidorTipo 1Torre T-350,4DY3
5XZ08V3;0044867;DELL;ServidorTipo 1Torre T-350,4DY3
HWZ08V3;0044865;DELL;ServidorTipo 1Torre T-350,4DY3
3XZ08V3;0044861;DELL;ServidorTipo 1Torre T-350,4DY3
JWZ08V3;0044866;DELL;ServidorTipo 1Torre T-350,4DY3
1XZ08V3;0044868;DELL;ServidorTipo 1Torre T-350,4DY3
2XZ08V3;0044862;DELL;ServidorTipo 1Torre T-350,4DY3
4XZ08V3;0044870;DELL;ServidorTipo 1Torre T-350,4DY3
6XZ08V3;0044869;DELL;ServidorTipo 1Torre T-350,4DY3
BMW08V3;0044847;DELL;Servidor Tipo1 Rack R-350 4DY3
DMW08V3;0044852;DELL;Servidor Tipo1 Rack R-350 4DY3
FMW08V3;0044846;DELL;Servidor Tipo1 Rack R-350 4DY3
GMW08V3;0044850;DELL;Servidor Tipo1 Rack R-350 4DY3
2NW08V3;0044853;DELL;Servidor Tipo1 Rack R-350 4DY3
8MW08V3;0044848;DELL;Servidor Tipo1 Rack R-350 4DY3
JMW08V3;0044844;DELL;Servidor Tipo1 Rack R-350 4DY3
1NW08V3;0044854;DELL;Servidor Tipo1 Rack R-350 4DY3
CMW08V3;0044849;DELL;Servidor Tipo1 Rack R-350 4DY3
HMW08V3;0044845;DELL;Servidor Tipo1 Rack R-350 4DY3
9MW08V3;0044851;DELL;Servidor Tipo1 Rack R-350 4DY3
2FFX7V3;0044872;DELL;Servidor Tipo 4 Rack R-450 Y 5
1FFX7V3;0044871;DELL;Servidor Tipo 4 Rack R-450 Y 5
9FFX7V3;0045368;DELL;Servidor Tipo 2 Rack R-450 Y 5
7FFX7V3;0045367;DELL;Servidor Tipo 2 Rack R-450 Y 5
5FFX7V3;0045366;DELL;Servidor Tipo 2 Rack R-450 Y 5
8FFX7V3;0045365;DELL;Servidor Tipo 2 Rack R-450 Y 5
3FFX7V3;0045370;DELL;Servidor Tipo 2 Rack R-450 Y 5
6FFX7V3;0045371;DELL;Servidor Tipo 2 Rack R-450 Y 5
GV9R7V3;000000026775;DELL;POWEREDGE R450
JV9R7V3;000000026776;DELL;POWEREDGE R450
HV9R7V3;000000026777;DELL;POWEREDGE R450
